Date,goldman,ge,ibm
16/07/14,170.47,27.02,192.36
15/07/14,169.17,26.61,188.49
14/07/14,167,26.66,189.86
11/07/14,164.8,26.55,188
10/07/14,163.42,26.2,187.7
09/07/14,164.67,26.32,188.42
08/07/14,164.91,26.37,187.22
07/07/14,167.78,26.75,188.04
03/07/14,169.46,26.86,188.53
02/07/14,166.89,26.61,188.39
01/07/14,166.81,26.4,186.35
30/06/14,167.44,26.28,181.27
27/06/14,166.78,26.43,181.71
26/06/14,168.01,26.29,180.37
25/06/14,168.38,26.42,180.72
24/06/14,168.23,26.58,180.88
23/06/14,170.24,26.68,182.14
20/06/14,169.84,26.97,181.55
19/06/14,169.73,26.93,182.82
18/06/14,169.86,26.89,183.6
17/06/14,168.22,26.87,182.26
16/06/14,165.85,26.82,182.35
13/06/14,165.89,27.04,182.56
12/06/14,165.96,26.96,181.22
11/06/14,165.43,27.15,182.25
10/06/14,166.36,27.41,184.29
09/06/14,166,27.44,186.22
06/06/14,166.19,27.18,186.37
05/06/14,162.58,26.77,185.98
04/06/14,162.39,26.55,184.51
03/06/14,161.8,26.79,184.37
02/06/14,160.03,26.83,185.69
30/05/14,159.81,26.79,184.36
29/05/14,160.74,26.74,183.76
28/05/14,161.19,26.66,183.08
27/05/14,161.77,26.57,184.78
23/05/14,160.16,26.51,185.94
22/05/14,159.85,26.51,185.68
21/05/14,159.35,26.49,186.39
20/05/14,156.35,26.3,184.89
19/05/14,157.67,26.61,187
16/05/14,156.43,26.67,187.06
15/05/14,156.64,26.6,186.46
14/05/14,159.45,26.76,188.72
13/05/14,160.28,26.92,192.19
12/05/14,159.55,26.85,192.57
09/05/14,157.2,26.42,190.08
08/05/14,157.4,26.44,188.91
07/05/14,155.52,26.53,189.3
06/05/14,154.54,26.19,190.03
05/05/14,156.35,26.58,191.26
02/05/14,158.88,26.68,191.44
01/05/14,160.37,26.77,193.53
30/04/14,159.82,26.89,196.47
29/04/14,158.24,26.76,195.11
28/04/14,156.54,26.78,193.14
25/04/14,158.24,26.6,189.63
24/04/14,160.85,26.46,190.22
23/04/14,160.45,26.42,191.73
22/04/14,160.46,26.58,192.15
21/04/14,157.8,26.59,192.27
17/04/14,157.44,26.56,190.01
16/04/14,157.22,26.12,196.4
15/04/14,154.92,25.82,197.02
14/04/14,154.74,25.71,197.77
11/04/14,152.72,25.43,195.19
10/04/14,155.98,25.58,195.68
09/04/14,158.16,25.95,196.64
08/04/14,156.56,25.75,193.29
07/04/14,158.56,25.85,194.52
04/04/14,163.24,26.02,191.77
03/04/14,166.09,26.23,192.69
02/04/14,167.27,26.04,193.55
01/04/14,165.92,25.87,194.5
31/03/14,163.85,25.89,192.49
28/03/14,162.3,25.88,190.45
27/03/14,162.29,25.81,189.83
26/03/14,161.73,25.62,192.62
25/03/14,163.25,25.7,195.04
24/03/14,165.72,25.41,188.25
21/03/14,166.95,25.4,186.67
20/03/14,169.22,25.27,187.9
19/03/14,168.18,25.28,184.71
18/03/14,168.09,25.65,186.81
17/03/14,166.84,25.43,185.81
14/03/14,165.35,25.11,182.21
13/03/14,166.7,25.34,183.9
12/03/14,169.72,25.76,186.22
11/03/14,169.89,25.9,186.76
10/03/14,173.51,26.04,186.39
07/03/14,174.26,26.13,187.68
06/03/14,172.6,26.22,187.64
05/03/14,171.9,25.93,187.14
04/03/14,168.73,25.65,186.44
03/03/14,164.74,25.12,184.26
28/02/14,166.45,25.47,185.17
27/02/14,165.38,25.5,185.27
26/02/14,162.8,25.3,184.06
25/02/14,163.48,25.27,183.23
24/02/14,166.54,25.29,183.45
21/02/14,164.5,24.94,182.79
20/02/14,164.5,25.12,184.26
19/02/14,163.26,25.4,182.95
18/02/14,164.65,25.65,183.19
14/02/14,163.72,25.74,183.69
13/02/14,164.06,25.44,181.84
12/02/14,163.5,25.39,180.24
11/02/14,164.39,25.43,179.7
10/02/14,161,25.05,177.14
07/02/14,161.93,25.19,177.25
06/02/14,161.75,24.95,174.67
05/02/14,160.42,24.52,174.24
04/02/14,161.76,24.57,172.84
03/02/14,159.82,24.35,172.9
31/01/14,164.12,25.13,176.68
30/01/14,165.84,25.5,177.36
29/01/14,163.9,25.29,176.4
28/01/14,166.25,25.46,176.85
27/01/14,164.69,25.07,177.9
24/01/14,167.64,24.95,179.64
23/01/14,170.75,25.82,182.73
22/01/14,173.68,25.99,182.25
21/01/14,173.2,26.29,188.43
17/01/14,176.28,26.58,190.09
16/01/14,175.17,27.2,188.76
15/01/14,178.75,27.34,187.74
14/01/14,176.6,26.97,185.92
13/01/14,175.88,26.73,184.16
